BPUIC,HOUR_OF_DAY,p_late,count
8502220,0,0.37379227053140085,2.63768115942029
8502220,1,0.5396825396825397,1.0317460317460319
8502220,2,0.5079365079365079,2.0634920634920637
8502220,3,0.3333333333333333,2.109375
8502220,4,0.4140625,2.015625
8502220,5,0.6084905660377359,2.0
8502220,6,0.3982049266247379,8.037735849056604
8502220,7,0.3601939203354298,8.033018867924529
8502220,8,0.3813417190775681,8.05188679245283
8502220,9,0.4144808938441014,8.028301886792454
8502220,10,0.42601369141653506,8.037914691943127
8502220,11,0.3575027526449327,8.052132701421801
8502220,12,0.448435779596917,8.028436018957345
8502220,13,0.4555687203791469,8.033175355450236
8502220,14,0.4539231174302264,8.018957345971565
8502220,15,0.4522116903633491,8.037914691943127
8502220,16,0.43520702306079667,8.023584905660377
8502220,17,0.4571278825995807,8.023584905660377
8502220,18,0.43011006289308173,8.028301886792454
8502220,19,0.4213181341719078,8.00943396226415
8502220,20,0.41496331236897277,8.014150943396226
8502220,21,0.49072327044025155,4.1084905660377355
8502220,22,0.40782232704402516,4.44811320754717
8502220,23,0.3821540880503145,4.490566037735849
8502221,0,0.143719806763285,2.63768115942029
8502221,1,0.2698412698412698,1.0317460317460319
8502221,2,0.1865079365079365,2.0634920634920637
8502221,3,0.2421875,2.109375
8502221,4,0.203125,2.015625
8502221,5,0.06367924528301887,2.0
8502221,6,0.15306603773584884,7.023584905660377
8502221,7,0.18225890985324947,8.04245283018868
8502221,8,0.14057556699066134,8.056603773584905
8502221,9,0.08755241090146748,8.047169811320755
8502221,10,0.07813322801474461,8.037914691943127
8502221,11,0.07072143233280673,8.04739336492891
8502221,12,0.0822143233280674,8.037914691943127
8502221,13,0.08998755325769543,8.028436018957345
8502221,14,0.07865982095839916,8.014218009478673
8502221,15,0.08216166403370194,8.042654028436019
8502221,16,0.1381027253668763,8.018867924528301
8502221,17,0.15959119496855342,8.018867924528301
8502221,18,0.15441561844863733,8.037735849056604
8502221,19,0.11353511530398322,8.00943396226415
8502221,20,0.07304769392033543,8.023584905660377
8502221,21,0.08629829290206642,5.122641509433962
8502221,22,0.07696540880503144,4.4575471698113205
8502221,23,0.08372641509433962,4.490566037735849
8502222,0,0.241243961352657,1.8695652173913044
8502222,1,0.47089947089947093,2.0476190476190474
8502222,2,0.4722222222222222,2.0634920634920637
8502222,3,0.359375,2.09375
8502222,4,0.3125,1.015625
8502222,5,0.24056603773584917,3.0
8502222,6,0.4068733153638817,7.023584905660377
8502222,7,0.379979035639413,8.04245283018868
8502222,8,0.3417405183914618,8.066037735849056
8502222,9,0.29029088050314467,8.056603773584905
8502222,10,0.2984824548805592,8.04739336492891
8502222,11,0.2623880989994734,8.056872037914692
8502222,12,0.21879936808846764,8.04739336492891
8502222,13,0.22107329216333954,8.037914691943127
8502222,14,0.1976698262243286,8.009478672985782
8502222,15,0.21515869596438317,8.04739336492891
8502222,16,0.3170204402515723,8.023584905660377
8502222,17,0.33143343815513626,8.014150943396226
8502222,18,0.31108490566037733,8.037735849056604
8502222,19,0.29874213836477986,8.00943396226415
8502222,20,0.22752882599580712,8.033018867924529
8502222,21,0.20975965858041323,5.231132075471698
8502222,22,0.11733490566037735,4.471698113207547
8502222,23,0.11954177897574124,4.372641509433962
8502229,0,0.3043478260869565,2.63768115942029
8502229,1,0.12698412698412698,1.0317460317460319
8502229,2,0.3253968253968254,2.0634920634920637
8502229,3,0.2994791666666667,2.109375
8502229,4,0.296875,2.015625
8502229,5,0.4363207547169811,2.0
8502229,6,0.5426212938005386,7.023584905660377
8502229,7,0.4944968553459119,8.04245283018868
8502229,8,0.4197517629121403,8.056603773584905
8502229,9,0.47002096436058693,8.047169811320755
8502229,10,0.46792689932500364,8.037914691943127
8502229,11,0.45443654555028967,8.052132701421801
8502229,12,0.5267904160084255,8.037914691943127
8502229,13,0.5356467518789794,8.028436018957345
8502229,14,0.5286334913112164,8.014218009478673
8502229,15,0.5244889654842261,8.042654028436019
8502229,16,0.5321671907756814,8.018867924528301
8502229,17,0.5299397274633124,8.018867924528301
8502229,18,0.5106918238993711,8.037735849056604
8502229,19,0.5290225366876311,8.014150943396226
8502229,20,0.5446278825995807,8.023584905660377
8502229,21,0.5533692722371961,5.122641509433962
8502229,22,0.34897798742138364,4.4575471698113205
8502229,23,0.3369496855345912,4.490566037735849
8502559,0,0.21212121212121213,1.8181818181818181
8502559,1,0.30434782608695654,2.0
8502559,2,0.25,2.0
8502559,3,0.07608695652173914,1.434782608695652
8502559,5,0.4883720930232558,1.0
8502559,6,0.22205284552845508,5.597560975609756
8502559,7,0.19862331057797517,7.341463414634147
8502559,8,0.22564102564102562,4.927272727272728
8502559,9,0.25553778725420523,6.059701492537314
8502559,10,0.2615079365079365,5.378787878787879
8502559,11,0.30275974025974034,5.212121212121212
8502559,12,0.31262626262626264,5.363636363636363
8502559,13,0.2577200577200577,5.666666666666667
8502559,14,0.2959054834054834,5.681818181818182
8502559,15,0.24861712361712365,5.53030303030303
8502559,16,0.2828030303030304,6.739393939393939
8502559,17,0.2753298909925415,6.795180722891566
8502559,18,0.2998091266163556,6.566265060240964
8502559,19,0.2831970740103273,3.602409638554217
8502559,20,0.25559701492537323,6.119402985074627
8502559,21,0.22020202020202026,4.818181818181818
8502559,22,0.2954545454545455,3.8181818181818183
8502559,23,0.22979797979797983,3.8181818181818183
8502572,0,0.25010857017470833,16.79383886255924
8502572,1,0.20148148148148148,3.88
8502572,2,0.2668859649122807,3.4583333333333335
8502572,3,0.04,1.88
8502572,5,0.27131896240891173,12.797619047619047
8502572,6,0.31046772703080056,28.416666666666668
8502572,7,0.2579089449416175,31.46208530805687
8502572,8,0.2711283064440067,31.787735849056602
8502572,9,0.27829680906955057,28.452830188679247
8502572,10,0.27282946640815786,30.033175355450236
8502572,11,0.2656928265726499,30.002369668246445
8502572,12,0.25793382392513337,30.687203791469194
8502572,13,0.27111899881295276,30.83175355450237
8502572,14,0.27429659141806606,30.165876777251185
8502572,15,0.2773686348544403,30.69905213270142
8502572,16,0.2374912615626494,33.83490566037736
8502572,17,0.2418242273288323,33.95283018867924
8502572,18,0.22526545873830373,33.62264150943396
8502572,19,0.25051027296060163,29.294811320754718
8502572,20,0.25481606561979064,26.816037735849058
8502572,21,0.27368222275511794,23.06872037914692
8502572,22,0.26595583276316176,23.063981042654028
8502572,23,0.258184592171377,18.796208530805686
8502876,0,0.11363636363636363,2.0
8502876,1,0.1893939393939394,1.3484848484848484
8502876,2,0.3181818181818182,1.0
8502876,3,0.027777777777777776,1.0555555555555556
