HALTESTELLEN_NAME,BPUIC,lat,lon,PRODUKT_ID,avg_trip_day,avg_p_late
"Zürich, Post Wollishofen",8591304,47.34446900000273,8.532958000000255,Tram,293.33962264150944,0.2611671227588108
"Zürich, Probstei",8591305,47.400221999997164,8.586592999999995,Tram,276.5188679245283,0.2136827277299148
"Zürich, Quellenstrasse",8591306,47.3867409999965,8.528752999999279,"Bus, Tram",825.8490566037735,0.2296723173394279
"Zürich, Radiostudio",8591307,47.40198099999131,8.53518599999963,"Bus, Tram",1282.4056603773586,0.2538167802336453
"Zürich, Rathaus",8591309,47.371737999996505,8.54287900000038,Tram,549.2216981132076,0.27097560307223706
"Zürich, Rautihalde",8591310,47.38617300000409,8.474106999999467,Bus,438.3867924528302,0.3210074493523837
"Zürich, Rautistrasse",8591311,47.38334900000315,8.48409099999921,Bus,666.6179245283018,0.2737911572858542
"Zürich, Rebbergsteig",8591312,47.3968999999994,8.514972000000231,Bus,300.5330188679245,0.30730595731937677
"Zürich, Regensbergbrücke",8591314,47.408822999994065,8.539275000001279,"Bus, Tram",1128.1792452830189,0.28032834922435657
"Zürich, Rehalp",8591315,47.35102699999747,8.582978999999435,"Tram, Zug",196.61320754716982,0.2731414084519118
"Zürich, Rennweg",8591316,47.3730660000001,8.53845699999986,Tram,1020.1792452830189,0.2088184738092905
"Zürich, Rentenanstalt",8591317,47.36338400000658,8.535041000000698,"Bus, Tram",878.8066037735849,0.3000789365770529
"Zürich, Riedbach",8591318,47.41447899999924,8.558182999999834,Bus,200.67164179104478,0.37074472290741745
"Zürich, Riedgraben",8591319,47.41064600000211,8.55926900000022,Bus,403.66037735849056,0.2917884619658126
"Zürich, Riedhofstrasse",8591320,47.409925000002296,8.479577999999583,Bus,159.13368983957218,0.34480703625554937
"Zürich, Rigiblick",8530473,47.38733299999999,8.55341399999999,Bus,21.11111111111111,0.16666666666666666
"Zürich, Rosengartenstrasse",8591323,47.39432799999658,8.52546399999917,Bus,758.9669811320755,0.28455050439811275
"Zürich, Roswiesen",8591325,47.40295300000266,8.57698000000048,Tram,276.5330188679245,0.211515074635586
"Zürich, Rotbuchstrasse",8591326,47.39127699999693,8.536118000000322,Bus,549.9622641509434,0.27503761541332433
"Zürich, Rote Fabrik",8587347,47.342731000002274,8.536018999999419,Bus,178.25943396226415,0.28804946361527084
"Zürich, Rudolf-Brun-Brücke",8591327,47.37435200000401,8.543237999999198,Tram,549.2216981132076,0.28243554200546545
"Zürich, Räffelstrasse",8591308,47.36274800000127,8.514665999999403,Bus,156.73714285714286,0.308246548670822
"Zürich, Römerhof",8503083,47.3680889999976,8.560280999998966,"Bus, Tram",625.6792452830189,0.26699505372761084
"Zürich, Röntgenstrasse",8591322,47.3819329999975,8.529264000000168,Bus,278.3018867924528,0.28432089732764565
"Zürich, Röslistrasse",8591324,47.38866200000327,8.540501000000052,"Bus, Tram",532.7830188679245,0.22890309461846362
"Zürich, Rütihof",8591328,47.41345299999589,8.4773140000001,Bus,149.7311320754717,0.23331587361239298
"Zürich, SBB-Werkstätte",8591334,47.38656399999439,8.503371999999395,Bus,286.5,0.26827715825387766
"Zürich, Saalsporthalle",8591329,47.357864000004156,8.52040500000136,"Bus, Tram",1468.0235849056603,0.24332056288413884
"Zürich, Saatlenstrasse",8591330,47.41080899999595,8.5628629999994,Bus,403.6367924528302,0.30067168547670015
"Zürich, Sackzelg",8591331,47.374385000002256,8.495514999999738,Bus,488.8301886792453,0.22736725159167562
"Zürich, Salersteig",8591332,47.40608200000122,8.548480000000128,"Bus, Tram",520.7311320754717,0.27146707185128266
"Zürich, Salzweg",8591333,47.38770500000089,8.471765999999878,Bus,438.35849056603774,0.2434353129006466
"Zürich, Schaffhauserplatz",8591335,47.391630000008675,8.538707999999273,"Bus, Tram",2690.5188679245284,0.23807539718857526
"Zürich, Schanzackerstrasse",8594255,47.39202299999994,8.54743200000001,Bus,10.444444444444445,0.18627450980392157
"Zürich, Schauenberg",8591338,47.416197000002036,8.506933000000377,Bus,61.91981132075472,0.2787406367041199
"Zürich, Schaufelbergerstrasse",8580912,47.368903000006,8.501840999999468,"Bus, Tram",1211.8915094339623,0.26159676503406726
"Zürich, Scheuchzerstrasse",8591339,47.38779000000078,8.544232000000179,Bus,271.87264150943395,0.25256652933498525
"Zürich, Schiffbau",8594239,47.38757500000063,8.51944499999924,"Bus, Tram",1832.2594339622642,0.24866631323602012
"Zürich, Schlyfi",8591340,47.36259199999748,8.5741449999993,Bus,279.2830188679245,0.3473488950446156
"Zürich, Schmiede Wiedikon",8591341,47.370152999997096,8.519264000000987,"Bus, Tram",2087.259433962264,0.2868790879051241
"Zürich, Schulhaus Altweg",8591344,47.37227399999615,8.494202000000872,Bus,275.5377358490566,0.23360306935325342
"Zürich, Schulhaus Buchlern",8591345,47.384592999997096,8.477771999999174,Bus,438.42452830188677,0.3099566185836656
"Zürich, Schumacherweg",8591346,47.41209399999938,8.514788000000358,Bus,284.5943396226415,0.2642402507432648
"Zürich, Schwamendingerplatz",8591349,47.404589999994556,8.571502999999307,"Bus, Tram",1765.3490566037735,0.2502067485866975
"Zürich, Schwandenholz",8591350,47.42385799999666,8.520686000000055,Bus,139.30392156862746,0.24270725998802686
"Zürich, Schweighof",8591351,47.364774999996506,8.502699000000124,Bus,217.19811320754718,0.3073588894286458
"Zürich, Schweizer Rück",8591352,47.35988000000299,8.535510999999277,Bus,176.64150943396226,0.40659774447425284
"Zürich, Schwert",8591353,47.3997300000037,8.504615999999498,"Bus, Tram",1264.5566037735848,0.2507437948596251
"Zürich, Schäppiweg",8591336,47.38974099999997,8.550895000000011,Bus,21.11111111111111,0.15660919540229884
"Zürich, Schönauring",8591342,47.42613000000477,8.53634600000058,Bus,270.6839622641509,0.31095060757978676
"Zürich, Schörlistrasse",8591343,47.405942000003535,8.563872999999342,Tram,549.4811320754717,0.2296546461082784
"Zürich, Schürgistrasse",8591347,47.408836999997376,8.579597000000149,Bus,121.40094339622641,0.2655377698395387
"Zürich, Schützenhaus Höngg",8591348,47.409730000000714,8.497050999999567,Bus,27.37735849056604,0.2519258281060856
"Zürich, Seebach",8591354,47.42186399999303,8.549776999999441,"Bus, Tram",1493.7122641509434,0.2889379695593192
"Zürich, Seebacherplatz",8591355,47.4198629999927,8.548369999999135,"Bus, Tram",1585.867924528302,0.2376941993502352
"Zürich, Seerose",8591357,47.338915000000256,8.538136999999823,Bus,178.25943396226415,0.28461868450400607
"Zürich, Segantinistrasse",8591358,47.40744700000315,8.489969999999749,Bus,299.97641509433964,0.27246982068878645
"Zürich, Segeten",8591360,47.35577599999765,8.59296900000012,Bus,48.09905660377358,0.37550189858469146
"Zürich, Seidelhof",8591361,47.39180199999842,8.48434999999944,Bus,560.8207547169811,0.26085579266468617
"Zürich, Seilbahn Rigiblick",8591362,47.38591599999929,8.548365000000212,"Bus, Tram",1631.448113207547,0.2462874752586386
"Zürich, Siemens",8591363,47.37858600000391,8.49449900000031,Tram,275.37264150943395,0.19784882254084488
"Zürich, Signaustrasse",8591364,47.36323000000357,8.557623000000525,"Bus, Tram",1125.683962264151,0.22217960852043667
