HALTESTELLEN_NAME,BPUIC,lat,lon,PRODUKT_ID,avg_trip_day,avg_p_late
"Adlikon b. R., Ziegelhütte",8576281,47.45263600000109,8.466078000000143,Bus,57.65573770491803,0.35651600753295665
Adlikon bei Regensdorf,8576253,47.448162000000444,8.466468999999964,Bus,57.65573770491803,0.246045197740113
Adliswil,8503096,47.31230399999926,8.524164000000221,Zug,142.327868852459,0.2643509688964236
"Adliswil, Ahornweg",8590476,47.318791999998766,8.534389000000193,Bus,94.85245901639344,0.3661181750186987
"Adliswil, Badstrasse",8590463,47.313598000000525,8.533806000000041,Bus,70.75409836065573,0.2791448516579406
"Adliswil, Bahnhof",8590464,47.31178099999879,8.524311999999737,Bus,204.40983606557376,0.34902414037515067
"Adliswil, Baumgartenweg",8590465,47.3096010000007,8.525616999999974,Bus,52.14754098360656,0.3806388132001204
"Adliswil, Büchel",8590467,47.30110599999942,8.522098000000073,Bus,52.032786885245905,0.3215048840048834
"Adliswil, Eichenweg",8590468,47.320004000000644,8.533686000000046,Bus,70.75409836065573,0.37301936619718284
"Adliswil, Friedhof",8590470,47.306881999999305,8.529635000000019,Bus,52.032786885245905,0.4104853479853478
"Adliswil, Grundstrasse",8595717,47.31294999999958,8.530050000000003,Bus,36.39344262295082,0.38261883931175267
"Adliswil, Grüt",8590472,47.3221179999986,8.528926999999994,Bus,70.91803278688525,0.4311499272197962
"Adliswil, Hofackerstrasse",8590473,47.315135999999214,8.535769000000064,Bus,94.85245901639344,0.3279772292861299
"Adliswil, Krone",8590474,47.31308100000021,8.527645000000083,Bus,70.91803278688525,0.3183988355167394
"Adliswil, Landolt-Junker-Str.",8590475,47.30334500000023,8.522262999999995,Bus,104.18032786885246,0.42456100514683653
"Adliswil, Moos",8590477,47.32545299999942,8.531046000000051,Bus,70.75409836065573,0.3956279342723002
"Adliswil, Rifertstrasse",8590480,47.30994700000103,8.531826999999991,Bus,81.26229508196721,0.4078124999999988
"Adliswil, Rütistrasse/Wacht",8590481,47.30702000000018,8.532203000000013,Bus,52.032786885245905,0.2276404151404157
"Adliswil, Schulhaus Kopfholz",8590482,47.30879799999875,8.534448000000184,Bus,110.57377049180327,0.31089409722222144
"Adliswil, Tiefacker",8590484,47.31656700000112,8.530018000000053,Bus,70.91803278688525,0.31605531295487627
"Adliswil, Tobelhof",8590485,47.309196000000235,8.52847800000013,Bus,52.032786885245905,0.4176587301587303
"Adliswil, Wanneten-/Haldenstr.",8590486,47.30591499999933,8.522473000000108,Bus,104.18032786885246,0.33526339691189877
Baltenswil,8588313,47.43091399999892,8.640530999999848,Bus,111.29508196721312,0.3214663970729827
Bassersdorf,8503307,47.43856399999829,8.626199000000145,Zug,156.91803278688525,0.295888448724662
"Bassersdorf, Bahnhof",8503700,47.43871799999926,8.626136000000093,Bus,160.0655737704918,0.24570891994697566
"Bassersdorf, Bächli",8588317,47.43892500000054,8.635739999999863,Bus,111.29508196721312,0.3582081648372807
"Bassersdorf, Chlupfgasse",8590503,47.444624999998624,8.624624000000036,Bus,119.68852459016394,0.3685213071596419
"Bassersdorf, Dietlikonerstr.",8588316,47.441464000001204,8.629365999999886,Bus,149.31147540983608,0.4074747831337615
"Bassersdorf, Gemeindehaus",8576161,47.44355399999934,8.629068000000144,Bus,44.39344262295082,0.41039068994181194
"Bassersdorf, Löwen",8576160,47.44358199999989,8.628126999999953,Bus,59.80327868852459,0.1945808531746032
"Bassersdorf, Schmitte",8576159,47.44294500000083,8.628763000000047,Bus,104.44262295081967,0.32595457578969483
"Bassersdorf, Sportanlage",8596100,47.44446100000004,8.610711000000022,Bus,137.88888888888889,0.3844454156954158
"Bassersdorf, Talgüetli",8576158,47.44509899999892,8.620483999999871,Bus,119.68852459016394,0.39602569060504866
"Benglen, Bodenacher",8591825,47.36113099999946,8.638612999999884,Bus,94.65573770491804,0.259918296723852
"Benglen, Gerlisbrunnen",8590504,47.36108399999852,8.633608000000084,Bus,191.54098360655738,0.23266273741019278
"Benglen, Langwis",8594249,47.361408999999995,8.630013999999939,Bus,24.0,0.3675213675213677
"Binz bei Maur, Bautacher",8594250,47.357711000000286,8.630063999999956,Bus,27.613636363636363,0.341954022988506
"Binz bei Maur, Fridlimatt",8590505,47.35893100000082,8.625153000000156,Bus,117.42622950819673,0.30436341390587046
"Binz bei Maur, Post",8591826,47.35709399999944,8.627972000000183,Bus,117.40983606557377,0.29809796303824304
Birmensdorf ZH,8502221,47.35743199999887,8.437543000000003,Zug,144.81967213114754,0.121391196141963
"Birmensdorf ZH, Bahnhof",8573718,47.35694499999967,8.438804999999833,Bus,33.98076923076923,0.22156762295081991
"Birmensdorf ZH, Landikon Bach",8503551,47.352291999999714,8.461695999999993,Bus,21.613636363636363,0.265951595159516
"Birmensdorf ZH, Landikon Dorf",8583731,47.35278300000012,8.461096000000005,Bus,37.55769230769231,0.49906079234972683
"Birmensdorf ZH, Obere Risi",8503579,47.3594580000003,8.45079299999998,Bus,21.613636363636363,0.30720572057205714
"Birmensdorf ZH, Ristet",8583214,47.36572399999963,8.42941100000005,Bus,36.63636363636363,0.3693055555555556
"Birmensdorf ZH, Sternen/WSL",8503578,47.36009299999974,8.456271999999943,Bus,21.613636363636363,0.3072057205720572
"Birmensdorf ZH, Weissenbrunnen",8582752,47.356073000000556,8.445963000000077,Bus,37.55769230769231,0.4867657103825137
"Birmensdorf ZH, Zentrum",8502950,47.35393599999965,8.437173000000083,Bus,18.692307692307693,0.33281573498964806
